Ім'я, Заробіток, К-сть організацій та комітетів, Присутність, Відсутність, К-сть законопроектів, Прийняті закони, Коефіцієнт
Заболотний Григорій Михайлович, 814241.6, 8, 23, 7, 93, 10, 1.46
Загорій Гліб Володимирович, 667230.67, 9, 81, 10, 64, 27, 4.39
Заліщук Світлана Петрівна, 769995.27, 5, 135, 11, 166, 13, 2.13
Заставний Роман Йосипович, 537317.84, 9, 49, 7, 69, 10, 2.24
Зубач Любомир Львович, 2539930.35, 2, 73, 19, 69, 4, 0.22
Зубик Володимир Володимирович, 1687272.88, 5, 18, 75, 19, 3, 0.22
Ківалов Сергій Васильович, 425431.35, 6, 26, 52, 40, 0, 0.26
Кірш Олександр Вікторович, 268944.0, 7, 55, 1, 155, 21, 8.85
Кісельов Андрій Миколайович, 65805.19, 11, 16, 40, 15, 1, 3.49
Кіссе Антон Іванович, 112240.0, 10, 47, 31, 48, 5, 6.03
Кіт Андрій Богданович, 2600525.65, 8, 24, 6, 96, 8, 0.38
Кадикало Микола Олегович, 1235427.28, 8, 1, 1, 85, 9, 0.86
Каплін Сергій Миколайович, 2006032.93, 10, 68, 37, 1274, 33, 2.35
Карпунцов Валерій Віталійович, 1490178.93, 12, 37, 9, 94, 5, 0.5
Кириченко Олексій Миколайович, 523418.62, 12, 97, 8, 116, 15, 3.49
Княжицький Микола Леонідович, 158170.0, 11, 83, 2, 656, 74, 52.14
Кобцев Михайло Валентинович, 993293.35, 6, 33, 23, 89, 15, 1.68
Кодола Олександр Михайлович, 703003.8, 12, 88, 5, 98, 15, 2.56
Кожем'якін Андрій Анатолійович, 1604920.38, 6, 93, 3, 2404, 199, 13.99
Козак Тарас Романович, 1776836.1, 3, 6, 50, 27, 1, 0.09
Козаченко Леонід Петрович, 780076.62, 5, 27, 3, 130, 18, 2.57
Козир Борис Юрійович, 4976.33, 10, 1, 1, 80, 9, 217.13
Колєсніков Дмитро Валерійович, 112240.0, 10, 16, 3, 112, 0, 2.01
Колганова Олена Валеріївна, 1666218.92, 9, 31, 75, 27, 5, 0.38
Королевська Наталія Юріївна, 1749404.33, 12, 58, 47, 214, 4, 0.44
Король Віктор Миколайович, 712405.52, 5, 93, 3, 71, 11, 1.84
Корчик Віталій Андрійович, 442021.0, 12, 1, 1, 73, 11, 2.93
Корчинська Оксана Анатоліївна, 186682.0, 5, 81, 25, 113, 23, 13.53
Костенко Павло Петрович, 1782882.22, 5, 68, 28, 68, 4, 0.32
Котвіцький Ігор Олександрович, 923509.01, 9, 47, 49, 90, 9, 1.19
Кришин Олег Юрійович, 1671338.82, 10, 52, 4, 96, 20, 1.34
Крулько Іван Іванович, 1548512.03, 13, 121, 15, 249, 16, 1.35
Кудлаєнко Сергій Володимирович, 1701935.24, 10, 86, 25, 400, 11, 0.98
Кузьменко Анатолій Іванович, 282286.0, 3, 12, 18, 52, 7, 2.79
Куліченко Іван Іванович, 1811603.39, 6, 127, 9, 77, 7, 0.53
Куніцин Сергій Володимирович, 391997.88, 6, 72, 33, 45, 5, 1.67
Купрій Віталій Миколайович, 2453754.04, 9, 63, 33, 134, 6, 0.35
Курило Віталій Семенович, 2568341.98, 11, 85, 26, 84, 10, 0.49
Курячий Максим Павлович, 282286.0, 12, 52, 4, 120, 18, 7.4
Кучер Микола Іванович, 22500.0, 9, 27, 3, 106, 16, 80.9
Лінько Дмитро Володимирович, 2390150.83, 11, 1, 1, 138, 13, 0.65
Лабазюк Сергій Петрович, 767200.03, 5, 22, 8, 148, 17, 2.49
Лаврик Микола Іванович, 2592682.71, 9, 50, 6, 108, 11, 0.52
Лапін Ігор Олександрович, 2220931.11, 9, 61, 17, 192, 15, 0.82
Ларін Сергій Миколайович, 1941265.93, 7, 35, 111, 38, 0, 0.06
Левченко Юрій Володимирович, 184306.0, 11, 83, 53, 290, 11, 8.41
Ледовських Олена Володимирівна, 1748335.73, 9, 98, 13, 736, 10, 1.09
Ленський Олексій Олексійович, 1750273.48, 9, 10, 9, 93, 12, 0.79
Лесюк Ярослав Васильович, 184306.0, 2, 66, 16, 26, 1, 1.08
Лук'янчук Руслан Валерійович, 1009725.46, 11, 15, 4, 42, 5, 0.66
Лунченко Валерій Валерійович, 268946.0, 12, 27, 3, 117, 17, 7.29
Луценко Ірина Степанівна, 184306.0, 12, 101, 31, 381, 60, 35.69
Льовочкіна Юлія Володимирівна, 530551.63, 8, 37, 109, 13, 0, 0.19
Люшняк Микола Володимирович, 1173441.81, 10, 27, 3, 114, 11, 1.14
Ляшко Олег Валерійович, 1766227.47, 6, 18, 38, 411, 62, 3.78
Мірошниченко Юрій Романович, 1672855.68, 11, 69, 27, 105, 14, 1.0
Міщенко Сергій Григорович, 184306.0, 10, 48, 30, 141, 3, 3.1
Македон Юрій Миколайович, 2228281.86, 6, 64, 14, 67, 4, 0.26
Маркевич Ярослав Володимирович, 1905804.98, 11, 99, 37, 167, 17, 1.08
Мартиняк Сергій Васильович, 1709518.48, 9, 10, 20, 66, 4, 0.33
Марченко Олександр Олександрович, 84640.0, 10, 74, 19, 197, 14, 20.75
Масоріна Олена Сергіївна, 184306.0, 11, 62, 10, 49, 5, 3.87
Матіос Марія Василівна, 1040296.61, 9, 35, 50, 47, 5, 0.63
Матвієнко Анатолій Сергійович, 184306.0, 11, 89, 47, 117, 6, 4.8
Матузко Олена Олександрівна, 704742.92, 6, 14, 5, 43, 5, 0.87
Мацола Роман Миколайович, 308430.0, 9, 88, 8, 218, 26, 9.69
Медуниця Олег Вячеславович, 985852.99, 10, 105, 31, 121, 8, 1.12
Мельник Сергій Іванович, 2157451.95, 5, 126, 10, 124, 10, 0.6
Мельничук Сергій Петрович, 1725690.12, 8, 33, 17, 178, 23, 1.49
Мепарішвілі Хвича Нодарович, 158170.0, 8, 73, 8, 51, 3, 3.14
Мисик Володимир Юрійович, 184306.0, 7, 57, 39, 66, 8, 5.26
Молоток Ігор Федорович, 1730450.5, 9, 110, 26, 87, 6, 0.5
Мосійчук Ігор Володимирович, 527085.92, 9, 57, 39, 150, 19, 4.12
Москаленко Ярослав Миколайович, 1416900.5, 6, 4, 15, 135, 19, 1.48
Мураєв Євгеній Володимирович, 97980.0, 7, 2, 54, 164, 0, 2.39
Мусій Олег Степанович, 718699.2, 8, 97, 9, 235, 20, 3.34
Німченко Василь Іванович, 1873620.69, 9, 34, 44, 31, 0, 0.07
Найєм Мустафа-Масі, 1545367.71, 12, 43, 29, 172, 17, 1.31
Негой Федір Федорович, 2438116.14, 8, 27, 3, 43, 3, 0.18
Нестеренко Вадим Григорович, 2371272.75, 8, 16, 14, 22, 1, 0.09
Ничипоренко Валентин Миколайович, 701359.63, 3, 24, 32, 46, 3, 0.55
Новак Наталія Василівна, 479043.39, 4, 76, 2, 78, 3, 1.03
Новинський Вадим Владиславович, 764911.6, 6, 17, 68, 47, 0, 0.14
Одарченко Юрій Віталійович, 727428.0, 2, 13, 28, 41, 0, 0.09
Омельянович Денис Сергійович, 1093825.73, 4, 4, 26, 3, 0, 0.04
Остапчук Віктор Миколайович, 669368.51, 10, 1, 1, 65, 4, 0.84
Острікова Тетяна Георгіївна, 1800309.3, 7, 49, 7, 181, 29, 1.77
Павлов Костянтин Юрійович, 1030864.23, 10, 84, 52, 288, 27, 3.05
Петренко Олег Миколайович, 922738.64, 4, 72, 15, 161, 9, 1.26
Пинзеник Віктор Михайлович, 2150948.24, 3, 128, 8, 979, 21, 1.5
Писаренко Валерій Володимирович, 1461946.6, 11, 14, 64, 103, 4, 0.42
Побер Ігор Миколайович, 268486.0, 7, 1, 1, 68, 7, 3.12
Подоляк Ірина Ігорівна, 2524800.48, 6, 75, 10, 134, 19, 0.86
Помазанов Андрій Віталійович, 247589.62, 10, 74, 4, 93, 8, 4.29
Пономарьов Олександр Сергійович, 84640.0, 5, 1, 1, 55, 3, 4.79
Порошенко Олексій Петрович, 1762151.02, 6, 39, 17, 241, 156, 9.04
Пресман Олександр Семенович, 465038.48, 4, 24, 112, 9, 0, 0.11
Присяжнюк Олександр Анатолійович, 11295.28, 8, 90, 56, 21, 1, 22.71
Продан Оксана Петрівна, 899080.25, 11, 43, 13, 140, 33, 3.99
Рабінович Вадим Зіновійович, 7541.77, 8, 11, 43, 70, 0, 20.19
Развадовський Віктор Йосипович, 723522.71, 7, 72, 17, 111, 8, 1.44
Ревега Олександр Васильович, 931971.09, 9, 75, 12, 90, 11, 1.44
Река Андрій Олександрович, 268946.0, 9, 103, 8, 109, 7, 3.7
Рибак Іван Петрович, 1704458.28, 8, 17, 2, 163, 13, 0.91
Рибчинський Євген Юрійович, 214676.92, 8, 77, 14, 151, 24, 12.56
Романова Анна Анатоліївна, 919201.0, 11, 77, 10, 122, 6, 0.98
Рудик Сергій Ярославович, 613826.45, 10, 116, 20, 162, 12, 2.54
Сабашук Петро Павлович, 51539.26, 10, 52, 41, 21, 6, 14.55
Сажко Сергій Миколайович, 2700663.88, 5, 16, 3, 65, 1, 0.08
Святаш Дмитро Володимирович, 63069.54, 10, 33, 23, 56, 7, 13.88
Семенуха Роман Сергійович, 2478010.56, 6, 16, 3, 144, 11, 0.53
Сидорович Руслан Михайлович, 2472563.07, 10, 67, 11, 116, 5, 0.31
Сидорчук Вадим Васильович, 1371981.1, 11, 42, 14, 30, 3, 0.34
Силантьєв Денис Олегович, 1580220.24, 12, 85, 2, 115, 10, 0.83
Сисоєнко Ірина Володимирівна, 2410649.78, 10, 90, 16, 127, 12, 0.62
Скорик Микола Леонідович, 1685767.28, 10, 75, 61, 55, 0, 0.12
Соболєв Сергій Владиславович, 1983194.48, 9, 47, 31, 3906, 722, 38.44
Сольвар Руслан Миколайович, 97980.0, 10, 1, 1, 124, 4, 6.37
Соляр Володимир Миронович, 1519673.12, 5, 67, 29, 62, 8, 0.63
Сотник Олена Сергіївна, 1962874.3, 14, 55, 17, 199, 13, 0.86
Спориш Іван Дмитрович, 268946.0, 4, 83, 4, 134, 12, 5.4
Сташук Віталій Филимонович, 1105950.22, 10, 84, 9, 81, 14, 1.5
Сугоняко Олександр Леонідович, 2157809.06, 9, 1, 1, 84, 4, 0.27
Супруненко Олександр Іванович, 120000.0, 3, 45, 33, 33, 1, 1.57
Суслова Ірина Миколаївна, 27140.0, 11, 47, 7, 196, 16, 71.74
Тіміш Григорій Іванович, 1664721.35, 10, 61, 11, 75, 4, 0.38
Тарасюк Борис Іванович, 1844168.05, 11, 134, 12, 92, 3, 0.34
Тимошенко Юлія Володимирівна, 4349.34, 2, 4, 45, 262, 15, 409.79
Ткачук Геннадій Віталійович, 2116407.16, 7, 50, 28, 49, 4, 0.26
Третьяков Олександр Юрійович, 446807.51, 9, 90, 1, 873, 109, 26.75
Тригубенко Сергій Миколайович, 154560.0, 8, 4, 15, 22, 1, 1.31
Унгурян Павло Якимович, 325315.0, 11, 90, 46, 59, 8, 3.16
Урбанський Олександр Ігорович, 1638632.82, 10, 1, 1, 56, 8, 0.58
Усов Костянтин Глібович, 536616.0, 9, 3, 16, 26, 3, 0.78
Федорук Микола Трохимович, 984227.83, 8, 107, 4, 163, 7, 1.06
Фролов Микола Олександрович, 1985273.89, 9, 49, 7, 84, 9, 0.56
Хлань Сергій Володимирович, 256150.0, 11, 27, 3, 115, 15, 6.83
Хомутиннік Віталій Юрійович, 722909.28, 6, 13, 43, 32, 1, 0.27
Черненко Олександр Миколайович, 775659.69, 12, 72, 6, 153, 9, 1.6
Чубаров Рефат Абдурахманович, 73368.98, 8, 35, 5, 72, 2, 5.22
Шаповалов Юрій Анатолійович, 263650.0, 10, 1, 1, 57, 6, 2.87
Шевченко Олександр Леонідович, 1783121.7, 4, 76, 60, 165, 8, 0.59
Шенцев Дмитро Олексійович, 495100.65, 10, 26, 70, 33, 3, 0.89
Шипко Андрій Федорович, 1106733.34, 11, 77, 29, 158, 13, 1.47
Шкіря Ігор Миколайович, 5248.83, 5, 1, 1, 8, 0, 11.15
Шкварилюк Володимир Васильович, 2061422.03, 9, 121, 15, 104, 5, 0.39
Шкрум Альона Іванівна, 347879.28, 10, 89, 22, 206, 20, 6.83
Шпенов Дмитро Юрійович, 717666.77, 10, 20, 58, 88, 1, 0.41
Шухевич Юрій-Богдан Романович, 280980.0, 9, 77, 14, 135, 26, 10.29
Юрик Тарас Зіновійович, 930040.0, 10, 48, 8, 71, 11, 1.41
Юринець Оксана Василівна, 2770446.53, 13, 68, 4, 205, 20, 0.87
Юрчишин Петро Васильович, 204640.0, 5, 29, 1, 97, 16, 8.67
Яриніч Костянтин Володимирович, 268946.0, 10, 82, 24, 119, 14, 6.26
Яценко Антон Володимирович, 1021709.47, 5, 41, 55, 162, 14, 1.59
